date,habit,done
2026-01-01,Exercise,n
2026-01-01,Read 10 pages,y
2026-01-02,Exercise,y
2026-01-02,Read 10 pages,y
2026-01-03,Exercise,y
2026-01-04,Exercise,y
2026-01-04,Read 10 pages,n
2026-01-05,Exercise,n
2026-01-05,Read 10 pages,n
2026-01-06,Exercise,n
2026-01-06,Read 10 pages,y
2026-01-07,Exercise,n
2026-01-07,Read 10 pages,n
2026-01-08,Exercise,y
2026-01-08,Read 10 pages,n
2026-01-09,Exercise,n
2026-01-09,Read 10 pages,y
2026-01-10,Exercise,y
2026-01-10,Read 10 pages,y
2026-01-11,Exercise,y
2026-01-11,Read 10 pages,n
2026-01-12,Exercise,n
2026-01-13,Exercise,y
2026-01-13,Read 10 pages,y
2026-01-14,Exercise,y
2026-01-14,Read 10 pages,y
2026-01-15,Exercise,n
2026-01-15,Read 10 pages,y
2026-01-16,Exercise,n
2026-01-16,Read 10 pages,y
2026-01-17,Exercise,y
2026-01-17,Read 10 pages,y
2026-01-18,Exercise,n
2026-01-19,Exercise,n
2026-01-19,Read 10 pages,y
2026-01-20,Exercise,y
2026-01-20,Read 10 pages,n
2026-01-21,Exercise,y
2026-01-21,Read 10 pages,y
2026-01-22,Exercise,y
2026-01-22,Read 10 pages,n
2026-01-23,Exercise,y
2026-01-23,Read 10 pages,n
2026-01-24,Exercise,y
2026-01-24,Read 10 pages,y
2026-01-25,Exercise,n
2026-01-25,Read 10 pages,y
2026-01-26,Exercise,y
2026-01-26,Read 10 pages,n
2026-01-27,Exercise,y
2026-01-28,Exercise,y
2026-01-28,Read 10 pages,n
2026-01-29,Exercise,y
2026-01-29,Read 10 pages,y
2026-01-30,Exercise,y
2026-01-30,Read 10 pages,y
2026-01-31,Exercise,y
2026-01-31,Read 10 pages,n
2026-02-01,Exercise,y
2026-02-01,Read 10 pages,y
2026-02-02,Exercise,y
2026-02-02,Read 10 pages,n
2026-02-03,Exercise,n
2026-02-03,Read 10 pages,n
2026-02-04,Exercise,y
2026-02-04,Read 10 pages,n
2026-02-05,Exercise,y
2026-02-06,Exercise,y
2026-02-06,Read 10 pages,y
2026-02-07,Exercise,y
2026-02-07,Read 10 pages,n
2026-02-08,Exercise,y
2026-02-09,Exercise,y
2026-02-10,Exercise,y
2026-02-11,Exercise,y
2026-02-11,Read 10 pages,y
2026-02-12,Exercise,y
2026-02-12,Read 10 pages,n
2026-02-13,Exercise,y
2026-02-13,Read 10 pages,n
2026-02-14,Exercise,y
2026-02-14,Read 10 pages,y
2026-02-15,Exercise,y
2026-02-15,Read 10 pages,n
2026-02-16,Exercise,y
2026-02-17,Exercise,y
2026-02-17,Read 10 pages,y
2026-02-18,Exercise,y
2026-02-19,Exercise,y
2026-02-19,Read 10 pages,n
2026-02-20,Exercise,y
2026-02-20,Read 10 pages,n
2026-02-21,Exercise,y
2026-02-21,Read 10 pages,y
2026-02-22,Exercise,y
2026-02-23,Exercise,n
2026-02-24,Exercise,y
2026-02-24,Read 10 pages,n
2026-02-25,Exercise,y
2026-02-25,Read 10 pages,n
2026-02-26,Exercise,y
2026-02-26,Read 10 pages,y
2026-02-27,Exercise,y
2026-02-28,Exercise,y
2026-02-28,Read 10 pages,n
2026-03-01,Exercise,y
2026-03-01,Read 10 pages,n
2026-03-02,Exercise,n
2026-03-02,Read 10 pages,y
2026-03-03,Exercise,y
2026-03-03,Read 10 pages,y
2026-03-04,Exercise,y
2026-03-04,Read 10 pages,n
2026-03-05,Exercise,y
2026-03-05,Read 10 pages,n
2026-03-06,Exercise,y
2026-03-06,Read 10 pages,n
2026-03-07,Exercise,y
2026-03-07,Read 10 pages,n
2026-03-08,Exercise,y
2026-03-08,Read 10 pages,n
2026-03-09,Exercise,y
2026-03-10,Exercise,y
2026-03-10,Read 10 pages,y
2026-03-11,Exercise,y
2026-03-11,Read 10 pages,n
2026-03-12,Exercise,y
2026-03-12,Read 10 pages,n
2026-03-13,Exercise,n
2026-03-13,Read 10 pages,n
2026-03-14,Exercise,y
2026-03-15,Exercise,y
2026-03-15,Read 10 pages,n
2026-03-16,Exercise,y
2026-03-16,Read 10 pages,n
2026-03-17,Exercise,y
2026-03-17,Read 10 pages,y
2026-03-18,Exercise,n
2026-03-18,Read 10 pages,y
2026-03-19,Exercise,y
2026-03-20,Exercise,y
2026-03-20,Read 10 pages,y
2026-03-21,Exercise,y
2026-03-21,Read 10 pages,n
2026-03-22,Exercise,y
2026-03-22,Read 10 pages,n
2026-03-23,Exercise,y
2026-03-23,Read 10 pages,n
2026-03-24,Exercise,y
2026-03-24,Read 10 pages,n
2026-03-25,Exercise,y
2026-03-26,Exercise,y
2026-03-26,Read 10 pages,y
2026-03-27,Exercise,y
2026-03-27,Read 10 pages,y
2026-03-28,Exercise,n
2026-03-29,Exercise,y
2026-03-29,Read 10 pages,n
2026-03-30,Exercise,y
2026-03-30,Read 10 pages,n
2026-03-31,Exercise,y
2026-03-31,Read 10 pages,y
2026-04-01,Exercise,y
2026-04-01,Read 10 pages,y
2026-04-02,Exercise,y
2026-04-02,Read 10 pages,y
2026-04-03,Exercise,y
2026-04-03,Read 10 pages,y
